FHIR_RESOURCE, FHIR_ELEMENT_NAME, FHIR_PATH, CAMPFHIR_COLUMN
ActivityDefinition, End, ActivityDefinition.Author.Telecom.Period.End, ActvtyDfn_Athr_Tlcm_Prd_End
ActivityDefinition, Start, ActivityDefinition.Author.Telecom.Period.Start, ActvtyDfn_Athr_Tlcm_Prd_Strt
ActivityDefinition, Rank, ActivityDefinition.Author.Telecom.Rank, ActvtyDfn_Athr_Tlcm_Rnk
ActivityDefinition, System, ActivityDefinition.Author.Telecom.System, ActvtyDfn_Athr_Tlcm_Sys
ActivityDefinition, Use, ActivityDefinition.Author.Telecom.Use, ActvtyDfn_Athr_Tlcm_Use
ActivityDefinition, Value, ActivityDefinition.Author.Telecom.Value, ActvtyDfn_Athr_Tlcm_Vl
ActivityDefinition, Code, ActivityDefinition.BodySite.Coding.Code, ActvtyDfn_BodySite_Cdg_Cd
ActivityDefinition, Display, ActivityDefinition.BodySite.Coding.Display, ActvtyDfn_BodySite_Cdg_Dsply
ActivityDefinition, System, ActivityDefinition.BodySite.Coding.System, ActvtyDfn_BodySite_Cdg_Sys
ActivityDefinition, UserSelected, ActivityDefinition.BodySite.Coding.UserSelected, ActvtyDfn_BodySite_Cdg_UsrSltd
ActivityDefinition, Version, ActivityDefinition.BodySite.Coding.Version, ActvtyDfn_BodySite_Cdg_Vrsn
ActivityDefinition, Text, ActivityDefinition.BodySite.Text, ActvtyDfn_BodySite_Txt
ActivityDefinition, Code, ActivityDefinition.Code.Coding.Code, ActvtyDfn_Cd_Cdg_Cd
ActivityDefinition, Display, ActivityDefinition.Code.Coding.Display, ActvtyDfn_Cd_Cdg_Dsply
ActivityDefinition, System, ActivityDefinition.Code.Coding.System, ActvtyDfn_Cd_Cdg_Sys
ActivityDefinition, UserSelected, ActivityDefinition.Code.Coding.UserSelected, ActvtyDfn_Cd_Cdg_UsrSltd
ActivityDefinition, Version, ActivityDefinition.Code.Coding.Version, ActvtyDfn_Cd_Cdg_Vrsn
ActivityDefinition, Text, ActivityDefinition.Code.Text, ActvtyDfn_Cd_Txt
ActivityDefinition, Name, ActivityDefinition.Contact.Name, ActvtyDfn_Cntct_Nm
ActivityDefinition, End, ActivityDefinition.Contact.Telecom.Period.End, ActvtyDfn_Cntct_Tlcm_Prd_End
ActivityDefinition, Start, ActivityDefinition.Contact.Telecom.Period.Start, ActvtyDfn_Cntct_Tlcm_Prd_Strt
ActivityDefinition, Rank, ActivityDefinition.Contact.Telecom.Rank, ActvtyDfn_Cntct_Tlcm_Rnk
ActivityDefinition, System, ActivityDefinition.Contact.Telecom.System, ActvtyDfn_Cntct_Tlcm_Sys
ActivityDefinition, Use, ActivityDefinition.Contact.Telecom.Use, ActvtyDfn_Cntct_Tlcm_Use
ActivityDefinition, Value, ActivityDefinition.Contact.Telecom.Value, ActvtyDfn_Cntct_Tlcm_Vl
ActivityDefinition, Copyright, ActivityDefinition.Copyright, ActvtyDfn_Copyright
ActivityDefinition, Date, ActivityDefinition.Date, ActvtyDfn_Dt
ActivityDefinition, Description, ActivityDefinition.Description, ActvtyDfn_Dscrptn
ActivityDefinition, DoNotPerform, ActivityDefinition.DoNotPerform, ActvtyDfn_DoNotPerform
ActivityDefinition, Code, ActivityDefinition.Dosage.AdditionalInstruction.Coding.Code, ActvtyDfn_Dsg_AddtnlInstrctn_Cdg_Cd
ActivityDefinition, Display, ActivityDefinition.Dosage.AdditionalInstruction.Coding.Display, ActvtyDfn_Dsg_AddtnlInstrctn_Cdg_Dsply
ActivityDefinition, System, ActivityDefinition.Dosage.AdditionalInstruction.Coding.System, ActvtyDfn_Dsg_AddtnlInstrctn_Cdg_Sys
ActivityDefinition, UserSelected, ActivityDefinition.Dosage.AdditionalInstruction.Coding.UserSelected, ActvtyDfn_Dsg_AddtnlInstrctn_Cdg_UsrSltd
ActivityDefinition, Version, ActivityDefinition.Dosage.AdditionalInstruction.Coding.Version, ActvtyDfn_Dsg_AddtnlInstrctn_Cdg_Vrsn
ActivityDefinition, Text, ActivityDefinition.Dosage.AdditionalInstruction.Text, ActvtyDfn_Dsg_AddtnlInstrctn_Txt
ActivityDefinition, AsNeededBooleanType, ActivityDefinition.Dosage.AsNeededBooleanType, ActvtyDfn_Dsg_AsNdBooleanTyp
ActivityDefinition, Code, ActivityDefinition.Dosage.AsNeededCodeableConcept.Coding.Code, ActvtyDfn_Dsg_AsNdCdbleCncpt_Cdg_Cd
ActivityDefinition, Display, ActivityDefinition.Dosage.AsNeededCodeableConcept.Coding.Display, ActvtyDfn_Dsg_AsNdCdbleCncpt_Cdg_Dsply
ActivityDefinition, System, ActivityDefinition.Dosage.AsNeededCodeableConcept.Coding.System, ActvtyDfn_Dsg_AsNdCdbleCncpt_Cdg_Sys
ActivityDefinition, UserSelected, ActivityDefinition.Dosage.AsNeededCodeableConcept.Coding.UserSelected, ActvtyDfn_Dsg_AsNdCdbleCncpt_Cdg_UsrSltd
ActivityDefinition, Version, ActivityDefinition.Dosage.AsNeededCodeableConcept.Coding.Version, ActvtyDfn_Dsg_AsNdCdbleCncpt_Cdg_Vrsn
ActivityDefinition, Text, ActivityDefinition.Dosage.AsNeededCodeableConcept.Text, ActvtyDfn_Dsg_AsNdCdbleCncpt_Txt
ActivityDefinition, Code, ActivityDefinition.Dosage.DoseAndRate.DoseQuantity.Code, ActvtyDfn_Dsg_DoseAndRt_DoseQnty_Cd
ActivityDefinition, Comparator, ActivityDefinition.Dosage.DoseAndRate.DoseQuantity.Comparator, ActvtyDfn_Dsg_DoseAndRt_DoseQnty_Cmprtr
ActivityDefinition, System, ActivityDefinition.Dosage.DoseAndRate.DoseQuantity.System, ActvtyDfn_Dsg_DoseAndRt_DoseQnty_Sys
ActivityDefinition, Unit, ActivityDefinition.Dosage.DoseAndRate.DoseQuantity.Unit, ActvtyDfn_Dsg_DoseAndRt_DoseQnty_Unt
ActivityDefinition, Value, ActivityDefinition.Dosage.DoseAndRate.DoseQuantity.Value, ActvtyDfn_Dsg_DoseAndRt_DoseQnty_Vl
ActivityDefinition, Code, ActivityDefinition.Dosage.DoseAndRate.DoseRange.High.Code, ActvtyDfn_Dsg_DoseAndRt_DoseRng_Hi_Cd
ActivityDefinition, Comparator, ActivityDefinition.Dosage.DoseAndRate.DoseRange.High.Comparator, ActvtyDfn_Dsg_DoseAndRt_DoseRng_Hi_Cmprtr
ActivityDefinition, System, ActivityDefinition.Dosage.DoseAndRate.DoseRange.High.System, ActvtyDfn_Dsg_DoseAndRt_DoseRng_Hi_Sys
ActivityDefinition, Unit, ActivityDefinition.Dosage.DoseAndRate.DoseRange.High.Unit, ActvtyDfn_Dsg_DoseAndRt_DoseRng_Hi_Unt
ActivityDefinition, Value, ActivityDefinition.Dosage.DoseAndRate.DoseRange.High.Value, ActvtyDfn_Dsg_DoseAndRt_DoseRng_Hi_Vl
ActivityDefinition, Code, ActivityDefinition.Dosage.DoseAndRate.DoseRange.Low.Code, ActvtyDfn_Dsg_DoseAndRt_DoseRng_Lw_Cd
ActivityDefinition, Comparator, ActivityDefinition.Dosage.DoseAndRate.DoseRange.Low.Comparator, ActvtyDfn_Dsg_DoseAndRt_DoseRng_Lw_Cmprtr
ActivityDefinition, System, ActivityDefinition.Dosage.DoseAndRate.DoseRange.Low.System, ActvtyDfn_Dsg_DoseAndRt_DoseRng_Lw_Sys
ActivityDefinition, Unit, ActivityDefinition.Dosage.DoseAndRate.DoseRange.Low.Unit, ActvtyDfn_Dsg_DoseAndRt_DoseRng_Lw_Unt
ActivityDefinition, Value, ActivityDefinition.Dosage.DoseAndRate.DoseRange.Low.Value, ActvtyDfn_Dsg_DoseAndRt_DoseRng_Lw_Vl
ActivityDefinition, Code, ActivityDefinition.Dosage.DoseAndRate.RateQuantity.Code, ActvtyDfn_Dsg_DoseAndRt_RtQnty_Cd
ActivityDefinition, Comparator, ActivityDefinition.Dosage.DoseAndRate.RateQuantity.Comparator, ActvtyDfn_Dsg_DoseAndRt_RtQnty_Cmprtr
ActivityDefinition, System, ActivityDefinition.Dosage.DoseAndRate.RateQuantity.System, ActvtyDfn_Dsg_DoseAndRt_RtQnty_Sys
ActivityDefinition, Unit, ActivityDefinition.Dosage.DoseAndRate.RateQuantity.Unit, ActvtyDfn_Dsg_DoseAndRt_RtQnty_Unt
ActivityDefinition, Value, ActivityDefinition.Dosage.DoseAndRate.RateQuantity.Value, ActvtyDfn_Dsg_DoseAndRt_RtQnty_Vl
ActivityDefinition, Code, ActivityDefinition.Dosage.DoseAndRate.RateRange.High.Code, ActvtyDfn_Dsg_DoseAndRt_RtRng_Hi_Cd
ActivityDefinition, Comparator, ActivityDefinition.Dosage.DoseAndRate.RateRange.High.Comparator, ActvtyDfn_Dsg_DoseAndRt_RtRng_Hi_Cmprtr
ActivityDefinition, System, ActivityDefinition.Dosage.DoseAndRate.RateRange.High.System, ActvtyDfn_Dsg_DoseAndRt_RtRng_Hi_Sys
ActivityDefinition, Unit, ActivityDefinition.Dosage.DoseAndRate.RateRange.High.Unit, ActvtyDfn_Dsg_DoseAndRt_RtRng_Hi_Unt
ActivityDefinition, Value, ActivityDefinition.Dosage.DoseAndRate.RateRange.High.Value, ActvtyDfn_Dsg_DoseAndRt_RtRng_Hi_Vl
ActivityDefinition, Code, ActivityDefinition.Dosage.DoseAndRate.RateRange.Low.Code, ActvtyDfn_Dsg_DoseAndRt_RtRng_Lw_Cd
ActivityDefinition, Comparator, ActivityDefinition.Dosage.DoseAndRate.RateRange.Low.Comparator, ActvtyDfn_Dsg_DoseAndRt_RtRng_Lw_Cmprtr
ActivityDefinition, System, ActivityDefinition.Dosage.DoseAndRate.RateRange.Low.System, ActvtyDfn_Dsg_DoseAndRt_RtRng_Lw_Sys
ActivityDefinition, Unit, ActivityDefinition.Dosage.DoseAndRate.RateRange.Low.Unit, ActvtyDfn_Dsg_DoseAndRt_RtRng_Lw_Unt
ActivityDefinition, Value, ActivityDefinition.Dosage.DoseAndRate.RateRange.Low.Value, ActvtyDfn_Dsg_DoseAndRt_RtRng_Lw_Vl
ActivityDefinition, Code, ActivityDefinition.Dosage.DoseAndRate.RateRatio.Denominator.Code, ActvtyDfn_Dsg_DoseAndRt_RtRtio_Dnmntr_Cd
ActivityDefinition, Comparator, ActivityDefinition.Dosage.DoseAndRate.RateRatio.Denominator.Comparator, ActvtyDfn_Dsg_DoseAndRt_RtRtio_Dnmntr_Cmprtr
ActivityDefinition, System, ActivityDefinition.Dosage.DoseAndRate.RateRatio.Denominator.System, ActvtyDfn_Dsg_DoseAndRt_RtRtio_Dnmntr_Sys
ActivityDefinition, Unit, ActivityDefinition.Dosage.DoseAndRate.RateRatio.Denominator.Unit, ActvtyDfn_Dsg_DoseAndRt_RtRtio_Dnmntr_Unt
ActivityDefinition, Value, ActivityDefinition.Dosage.DoseAndRate.RateRatio.Denominator.Value, ActvtyDfn_Dsg_DoseAndRt_RtRtio_Dnmntr_Vl
ActivityDefinition, Code, ActivityDefinition.Dosage.DoseAndRate.RateRatio.Numerator.Code, ActvtyDfn_Dsg_DoseAndRt_RtRtio_Nmrtr_Cd
ActivityDefinition, Comparator, ActivityDefinition.Dosage.DoseAndRate.RateRatio.Numerator.Comparator, ActvtyDfn_Dsg_DoseAndRt_RtRtio_Nmrtr_Cmprtr
ActivityDefinition, System, ActivityDefinition.Dosage.DoseAndRate.RateRatio.Numerator.System, ActvtyDfn_Dsg_DoseAndRt_RtRtio_Nmrtr_Sys
ActivityDefinition, Unit, ActivityDefinition.Dosage.DoseAndRate.RateRatio.Numerator.Unit, ActvtyDfn_Dsg_DoseAndRt_RtRtio_Nmrtr_Unt
ActivityDefinition, Value, ActivityDefinition.Dosage.DoseAndRate.RateRatio.Numerator.Value, ActvtyDfn_Dsg_DoseAndRt_RtRtio_Nmrtr_Vl
ActivityDefinition, Code, ActivityDefinition.Dosage.DoseAndRate.Type.Coding.Code, ActvtyDfn_Dsg_DoseAndRt_Typ_Cdg_Cd
ActivityDefinition, Display, ActivityDefinition.Dosage.DoseAndRate.Type.Coding.Display, ActvtyDfn_Dsg_DoseAndRt_Typ_Cdg_Dsply
ActivityDefinition, System, ActivityDefinition.Dosage.DoseAndRate.Type.Coding.System, ActvtyDfn_Dsg_DoseAndRt_Typ_Cdg_Sys
ActivityDefinition, UserSelected, ActivityDefinition.Dosage.DoseAndRate.Type.Coding.UserSelected, ActvtyDfn_Dsg_DoseAndRt_Typ_Cdg_UsrSltd
ActivityDefinition, Version, ActivityDefinition.Dosage.DoseAndRate.Type.Coding.Version, ActvtyDfn_Dsg_DoseAndRt_Typ_Cdg_Vrsn
ActivityDefinition, Text, ActivityDefinition.Dosage.DoseAndRate.Type.Text, ActvtyDfn_Dsg_DoseAndRt_Typ_Txt
ActivityDefinition, Code, ActivityDefinition.Dosage.MaxDosePerAdministration.Code, ActvtyDfn_Dsg_MxDosePerAdmnstn_Cd
ActivityDefinition, Comparator, ActivityDefinition.Dosage.MaxDosePerAdministration.Comparator, ActvtyDfn_Dsg_MxDosePerAdmnstn_Cmprtr
ActivityDefinition, System, ActivityDefinition.Dosage.MaxDosePerAdministration.System, ActvtyDfn_Dsg_MxDosePerAdmnstn_Sys
ActivityDefinition, Unit, ActivityDefinition.Dosage.MaxDosePerAdministration.Unit, ActvtyDfn_Dsg_MxDosePerAdmnstn_Unt
ActivityDefinition, Value, ActivityDefinition.Dosage.MaxDosePerAdministration.Value, ActvtyDfn_Dsg_MxDosePerAdmnstn_Vl
ActivityDefinition, Code, ActivityDefinition.Dosage.MaxDosePerLifetime.Code, ActvtyDfn_Dsg_MxDosePerLifetime_Cd
ActivityDefinition, Comparator, ActivityDefinition.Dosage.MaxDosePerLifetime.Comparator, ActvtyDfn_Dsg_MxDosePerLifetime_Cmprtr
ActivityDefinition, System, ActivityDefinition.Dosage.MaxDosePerLifetime.System, ActvtyDfn_Dsg_MxDosePerLifetime_Sys
ActivityDefinition, Unit, ActivityDefinition.Dosage.MaxDosePerLifetime.Unit, ActvtyDfn_Dsg_MxDosePerLifetime_Unt
ActivityDefinition, Value, ActivityDefinition.Dosage.MaxDosePerLifetime.Value, ActvtyDfn_Dsg_MxDosePerLifetime_Vl
ActivityDefinition, Code, ActivityDefinition.Dosage.MaxDosePerPeriod.Denominator.Code, ActvtyDfn_Dsg_MxDosePerPrd_Dnmntr_Cd
ActivityDefinition, Comparator, ActivityDefinition.Dosage.MaxDosePerPeriod.Denominator.Comparator, ActvtyDfn_Dsg_MxDosePerPrd_Dnmntr_Cmprtr
ActivityDefinition, System, ActivityDefinition.Dosage.MaxDosePerPeriod.Denominator.System, ActvtyDfn_Dsg_MxDosePerPrd_Dnmntr_Sys
ActivityDefinition, Unit, ActivityDefinition.Dosage.MaxDosePerPeriod.Denominator.Unit, ActvtyDfn_Dsg_MxDosePerPrd_Dnmntr_Unt
ActivityDefinition, Value, ActivityDefinition.Dosage.MaxDosePerPeriod.Denominator.Value, ActvtyDfn_Dsg_MxDosePerPrd_Dnmntr_Vl
ActivityDefinition, Code, ActivityDefinition.Dosage.MaxDosePerPeriod.Numerator.Code, ActvtyDfn_Dsg_MxDosePerPrd_Nmrtr_Cd
ActivityDefinition, Comparator, ActivityDefinition.Dosage.MaxDosePerPeriod.Numerator.Comparator, ActvtyDfn_Dsg_MxDosePerPrd_Nmrtr_Cmprtr
ActivityDefinition, System, ActivityDefinition.Dosage.MaxDosePerPeriod.Numerator.System, ActvtyDfn_Dsg_MxDosePerPrd_Nmrtr_Sys
ActivityDefinition, Unit, ActivityDefinition.Dosage.MaxDosePerPeriod.Numerator.Unit, ActvtyDfn_Dsg_MxDosePerPrd_Nmrtr_Unt
ActivityDefinition, Value, ActivityDefinition.Dosage.MaxDosePerPeriod.Numerator.Value, ActvtyDfn_Dsg_MxDosePerPrd_Nmrtr_Vl
ActivityDefinition, Code, ActivityDefinition.Dosage.Method.Coding.Code, ActvtyDfn_Dsg_Mthd_Cdg_Cd
ActivityDefinition, Display, ActivityDefinition.Dosage.Method.Coding.Display, ActvtyDfn_Dsg_Mthd_Cdg_Dsply
ActivityDefinition, System, ActivityDefinition.Dosage.Method.Coding.System, ActvtyDfn_Dsg_Mthd_Cdg_Sys
ActivityDefinition, UserSelected, ActivityDefinition.Dosage.Method.Coding.UserSelected, ActvtyDfn_Dsg_Mthd_Cdg_UsrSltd
ActivityDefinition, Version, ActivityDefinition.Dosage.Method.Coding.Version, ActvtyDfn_Dsg_Mthd_Cdg_Vrsn
ActivityDefinition, Text, ActivityDefinition.Dosage.Method.Text, ActvtyDfn_Dsg_Mthd_Txt
ActivityDefinition, PatientInstruction, ActivityDefinition.Dosage.PatientInstruction, ActvtyDfn_Dsg_PntInstrctn
ActivityDefinition, Code, ActivityDefinition.Dosage.Route.Coding.Code, ActvtyDfn_Dsg_Route_Cdg_Cd
ActivityDefinition, Display, ActivityDefinition.Dosage.Route.Coding.Display, ActvtyDfn_Dsg_Route_Cdg_Dsply
ActivityDefinition, System, ActivityDefinition.Dosage.Route.Coding.System, ActvtyDfn_Dsg_Route_Cdg_Sys
ActivityDefinition, UserSelected, ActivityDefinition.Dosage.Route.Coding.UserSelected, ActvtyDfn_Dsg_Route_Cdg_UsrSltd
ActivityDefinition, Version, ActivityDefinition.Dosage.Route.Coding.Version, ActvtyDfn_Dsg_Route_Cdg_Vrsn
ActivityDefinition, Text, ActivityDefinition.Dosage.Route.Text, ActvtyDfn_Dsg_Route_Txt
ActivityDefinition, Sequence, ActivityDefinition.Dosage.Sequence, ActvtyDfn_Dsg_Sqnc
ActivityDefinition, Code, ActivityDefinition.Dosage.Site.Coding.Code, ActvtyDfn_Dsg_Site_Cdg_Cd
ActivityDefinition, Display, ActivityDefinition.Dosage.Site.Coding.Display, ActvtyDfn_Dsg_Site_Cdg_Dsply
ActivityDefinition, System, ActivityDefinition.Dosage.Site.Coding.System, ActvtyDfn_Dsg_Site_Cdg_Sys
ActivityDefinition, UserSelected, ActivityDefinition.Dosage.Site.Coding.UserSelected, ActvtyDfn_Dsg_Site_Cdg_UsrSltd
ActivityDefinition, Version, ActivityDefinition.Dosage.Site.Coding.Version, ActvtyDfn_Dsg_Site_Cdg_Vrsn
ActivityDefinition, Text, ActivityDefinition.Dosage.Site.Text, ActvtyDfn_Dsg_Site_Txt
ActivityDefinition, Text, ActivityDefinition.Dosage.Text, ActvtyDfn_Dsg_Txt
ActivityDefinition, Code, ActivityDefinition.Dosage.Timing.Code.Coding.Code, ActvtyDfn_Dsg_Tmg_Cd_Cdg_Cd
ActivityDefinition, Display, ActivityDefinition.Dosage.Timing.Code.Coding.Display, ActvtyDfn_Dsg_Tmg_Cd_Cdg_Dsply
ActivityDefinition, System, ActivityDefinition.Dosage.Timing.Code.Coding.System, ActvtyDfn_Dsg_Tmg_Cd_Cdg_Sys
ActivityDefinition, UserSelected, ActivityDefinition.Dosage.Timing.Code.Coding.UserSelected, ActvtyDfn_Dsg_Tmg_Cd_Cdg_UsrSltd
ActivityDefinition, Version, ActivityDefinition.Dosage.Timing.Code.Coding.Version, ActvtyDfn_Dsg_Tmg_Cd_Cdg_Vrsn
ActivityDefinition, Text, ActivityDefinition.Dosage.Timing.Code.Text, ActvtyDfn_Dsg_Tmg_Cd_Txt
ActivityDefinition, Event, ActivityDefinition.Dosage.Timing.Event, ActvtyDfn_Dsg_Tmg_Evnt
ActivityDefinition, Code, ActivityDefinition.Dosage.Timing.Repeat.BoundsDuration.Code, ActvtyDfn_Dsg_Tmg_Rpt_BndsDuration_Cd
ActivityDefinition, Comparator, ActivityDefinition.Dosage.Timing.Repeat.BoundsDuration.Comparator, ActvtyDfn_Dsg_Tmg_Rpt_BndsDuration_Cmprtr
ActivityDefinition, System, ActivityDefinition.Dosage.Timing.Repeat.BoundsDuration.System, ActvtyDfn_Dsg_Tmg_Rpt_BndsDuration_Sys
ActivityDefinition, Unit, ActivityDefinition.Dosage.Timing.Repeat.BoundsDuration.Unit, ActvtyDfn_Dsg_Tmg_Rpt_BndsDuration_Unt
ActivityDefinition, Value, ActivityDefinition.Dosage.Timing.Repeat.BoundsDuration.Value, ActvtyDfn_Dsg_Tmg_Rpt_BndsDuration_Vl
ActivityDefinition, End, ActivityDefinition.Dosage.Timing.Repeat.BoundsPeriod.End, ActvtyDfn_Dsg_Tmg_Rpt_BndsPrd_End
ActivityDefinition, Start, ActivityDefinition.Dosage.Timing.Repeat.BoundsPeriod.Start, ActvtyDfn_Dsg_Tmg_Rpt_BndsPrd_Strt
ActivityDefinition, Code, ActivityDefinition.Dosage.Timing.Repeat.BoundsRange.High.Code, ActvtyDfn_Dsg_Tmg_Rpt_BndsRng_Hi_Cd
ActivityDefinition, Comparator, ActivityDefinition.Dosage.Timing.Repeat.BoundsRange.High.Comparator, ActvtyDfn_Dsg_Tmg_Rpt_BndsRng_Hi_Cmprtr
ActivityDefinition, System, ActivityDefinition.Dosage.Timing.Repeat.BoundsRange.High.System, ActvtyDfn_Dsg_Tmg_Rpt_BndsRng_Hi_Sys
ActivityDefinition, Unit, ActivityDefinition.Dosage.Timing.Repeat.BoundsRange.High.Unit, ActvtyDfn_Dsg_Tmg_Rpt_BndsRng_Hi_Unt
ActivityDefinition, Value, ActivityDefinition.Dosage.Timing.Repeat.BoundsRange.High.Value, ActvtyDfn_Dsg_Tmg_Rpt_BndsRng_Hi_Vl
ActivityDefinition, Code, ActivityDefinition.Dosage.Timing.Repeat.BoundsRange.Low.Code, ActvtyDfn_Dsg_Tmg_Rpt_BndsRng_Lw_Cd
ActivityDefinition, Comparator, ActivityDefinition.Dosage.Timing.Repeat.BoundsRange.Low.Comparator, ActvtyDfn_Dsg_Tmg_Rpt_BndsRng_Lw_Cmprtr
ActivityDefinition, System, ActivityDefinition.Dosage.Timing.Repeat.BoundsRange.Low.System, ActvtyDfn_Dsg_Tmg_Rpt_BndsRng_Lw_Sys
ActivityDefinition, Unit, ActivityDefinition.Dosage.Timing.Repeat.BoundsRange.Low.Unit, ActvtyDfn_Dsg_Tmg_Rpt_BndsRng_Lw_Unt
ActivityDefinition, Value, ActivityDefinition.Dosage.Timing.Repeat.BoundsRange.Low.Value, ActvtyDfn_Dsg_Tmg_Rpt_BndsRng_Lw_Vl
ActivityDefinition, Count, ActivityDefinition.Dosage.Timing.Repeat.Count, ActvtyDfn_Dsg_Tmg_Rpt_Cnt
ActivityDefinition, CountMax, ActivityDefinition.Dosage.Timing.Repeat.CountMax, ActvtyDfn_Dsg_Tmg_Rpt_CntMx
ActivityDefinition, Duration, ActivityDefinition.Dosage.Timing.Repeat.Duration, ActvtyDfn_Dsg_Tmg_Rpt_Duration
ActivityDefinition, DurationMax, ActivityDefinition.Dosage.Timing.Repeat.DurationMax, ActvtyDfn_Dsg_Tmg_Rpt_DurationMx
ActivityDefinition, DurationUnit, ActivityDefinition.Dosage.Timing.Repeat.DurationUnit, ActvtyDfn_Dsg_Tmg_Rpt_DurationUnt
ActivityDefinition, Frequency, ActivityDefinition.Dosage.Timing.Repeat.Frequency, ActvtyDfn_Dsg_Tmg_Rpt_Frqncy
ActivityDefinition, FrequencyMax, ActivityDefinition.Dosage.Timing.Repeat.FrequencyMax, ActvtyDfn_Dsg_Tmg_Rpt_FrqncyMx
ActivityDefinition, Offset, ActivityDefinition.Dosage.Timing.Repeat.Offset, ActvtyDfn_Dsg_Tmg_Rpt_Off
ActivityDefinition, Period, ActivityDefinition.Dosage.Timing.Repeat.Period, ActvtyDfn_Dsg_Tmg_Rpt_Prd
ActivityDefinition, PeriodMax, ActivityDefinition.Dosage.Timing.Repeat.PeriodMax, ActvtyDfn_Dsg_Tmg_Rpt_PrdMx
ActivityDefinition, PeriodUnit, ActivityDefinition.Dosage.Timing.Repeat.PeriodUnit, ActvtyDfn_Dsg_Tmg_Rpt_PrdUnt
ActivityDefinition, TimeOfDay, ActivityDefinition.Dosage.Timing.Repeat.TimeOfDay, ActvtyDfn_Dsg_Tmg_Rpt_TimeOfDay
ActivityDefinition, Description, ActivityDefinition.DynamicValue.Expression.Description, ActvtyDfn_DynamicVl_Exprsn_Dscrptn
ActivityDefinition, Expression, ActivityDefinition.DynamicValue.Expression.Expression, ActvtyDfn_DynamicVl_Exprsn_Exprsn
ActivityDefinition, Language, ActivityDefinition.DynamicValue.Expression.Language, ActvtyDfn_DynamicVl_Exprsn_Lnguage
ActivityDefinition, Name, ActivityDefinition.DynamicValue.Expression.Name, ActvtyDfn_DynamicVl_Exprsn_Nm
ActivityDefinition, Reference, ActivityDefinition.DynamicValue.Expression.Reference, ActvtyDfn_DynamicVl_Exprsn_Rfrnc
ActivityDefinition, Path, ActivityDefinition.DynamicValue.Path, ActvtyDfn_DynamicVl_Path
ActivityDefinition, Name, ActivityDefinition.Editor.Name, ActvtyDfn_Editor_Nm
ActivityDefinition, End, ActivityDefinition.Editor.Telecom.Period.End, ActvtyDfn_Editor_Tlcm_Prd_End
ActivityDefinition, Start, ActivityDefinition.Editor.Telecom.Period.Start, ActvtyDfn_Editor_Tlcm_Prd_Strt
ActivityDefinition, Rank, ActivityDefinition.Editor.Telecom.Rank, ActvtyDfn_Editor_Tlcm_Rnk
ActivityDefinition, System, ActivityDefinition.Editor.Telecom.System, ActvtyDfn_Editor_Tlcm_Sys
ActivityDefinition, Use, ActivityDefinition.Editor.Telecom.Use, ActvtyDfn_Editor_Tlcm_Use
