TABLE_CD,COLUMN_CD,LOCAL_IN_CD,FHIR_OUT_CD,FHIR_OUT_CHAR,COMMENTS,FHIR_OUT_COLUMN,FHIR_SYSTEM
OBSERVATION_FACT,TVAL_CHAR,L,<,Less than,(null),OBS_VALUEQUANTITY_COMPARATOR,https://www.hl7.org/fhir/v3/RelationalOperator/cs.html
OBSERVATION_FACT,TVAL_CHAR,TX,(null),(null),No mapping for text entries,OBS_VALUEQUANTITY_COMPARATOR,https://www.hl7.org/fhir/v3/RelationalOperator/cs.html
OBSERVATION_FACT,TVAL_CHAR,LA18976-3,449868002,Current every day smoker,LOINC:72166-2 Answer List conversion to Snomed,OBS_CODE_CODING_CODE,http://snomed.info/sct
OBSERVATION_FACT,TVAL_CHAR,LA18977-1,4.28041E+14,Current some day smoker,LOINC:72166-2 Answer List conversion to Snomed,OBS_CODE_CODING_CODE,http://snomed.info/sct
OBSERVATION_FACT,TVAL_CHAR,LA18979-7,77176002,"Smoker, current status unknown",LOINC:72166-2 Answer List conversion to Snomed,OBS_CODE_CODING_CODE,http://snomed.info/sct
OBSERVATION_FACT,TVAL_CHAR,LA18980-5,266927001,Unknown if ever smoked,LOINC:72166-2 Answer List conversion to Snomed,OBS_CODE_CODING_CODE,http://snomed.info/sct
OBSERVATION_FACT,TVAL_CHAR,LA18981-3,4.28071E+14,Current Heavy tobacco smoker,LOINC:72166-2 Answer List conversion to Snomed,OBS_CODE_CODING_CODE,http://snomed.info/sct
OBSERVATION_FACT,TVAL_CHAR,LA18982-1,4.28061E+14,Current Light tobacco smoker,LOINC:72166-2 Answer List conversion to Snomed,OBS_CODE_CODING_CODE,http://snomed.info/sct
OBSERVATION_FACT,TVAL_CHAR,LA18978-9,266919005,Never smoker,LOINC:72166-2 Answer List conversion to Snomed,OBS_CODE_CODING_CODE,http://snomed.info/sct
OBSERVATION_FACT,VALUEFLAG_CD,L,L,Low,(null),OBS_INTERPRETATION_CODE,http://hl7.org/fhir/ValueSet/observation-interpretation
OBSERVATION_FACT,VALUEFLAG_CD,N,N,Normal,(null),OBS_INTERPRETATION_CODE,http://hl7.org/fhir/ValueSet/observation-interpretation
OBSERVATION_FACT,VALUEFLAG_CD,@,N,(null),UNKNOWN MAPS TO NORMAL,OBS_INTERPRETATION_CODE,http://hl7.org/fhir/ValueSet/observation-interpretation
OBSERVATION_FACT,VALUEFLAG_CD,H,H,High,(null),OBS_INTERPRETATION_CODE,http://hl7.org/fhir/ValueSet/observation-interpretation
PATIENT_DIMENSION,ETHNICITY_CD,DEM|HISP:NI,(null),(null),No Mapping for No Info,PNT_ETHNICITY,https://www.hl7.org/fhir/v3/Ethnicity/cs.html
PATIENT_DIMENSION,ETHNICITY_CD,DEM|HISP:Y,2135-2,Hispanic or Latino,(null),PNT_ETHNICITY,https://www.hl7.org/fhir/v3/Ethnicity/cs.html
PATIENT_DIMENSION,ETHNICITY_CD,DEM|HISP:N,2186-5,Not Hispanic or Latino,(null),PNT_ETHNICITY,https://www.hl7.org/fhir/v3/Ethnicity/cs.html
PATIENT_DIMENSION,RACE_CD,DEM|RACE:B,2054-5,Black or African American,(null),PNT_RACE,https://www.hl7.org/fhir/v3/Race/cs.html
PATIENT_DIMENSION,RACE_CD,DEM|RACE:O,2131-1,Other,(null),PNT_RACE,https://www.hl7.org/fhir/v3/Race/cs.html
PATIENT_DIMENSION,RACE_CD,DEM|RACE:W,2106-3,White,(null),PNT_RACE,https://www.hl7.org/fhir/v3/Race/cs.html
PATIENT_DIMENSION,RACE_CD,DEM|RACE:NI,2131-1,Other,No Mapping for No Information,PNT_RACE,https://www.hl7.org/fhir/v3/Race/cs.html
PATIENT_DIMENSION,RACE_CD,DEM|RACE:H,2076-8,Native Hawaiian or Other Pacific Islander,(null),PNT_RACE,https://www.hl7.org/fhir/v3/Race/cs.html
PATIENT_DIMENSION,RACE_CD,DEM|RACE:M,(null),(null),No Mapping for Multiple Races,PNT_RACE,https://www.hl7.org/fhir/v3/Race/cs.html
PATIENT_DIMENSION,RACE_CD,DEM|RACE:NA,1002-5,American Indian or Alaska Native,(null),PNT_RACE,https://www.hl7.org/fhir/v3/Race/cs.html
PATIENT_DIMENSION,RACE_CD,DEM|RACE:AS,2028-9,Asian,(null),PNT_RACE,https://www.hl7.org/fhir/v3/Race/cs.html
PATIENT_DIMENSION,SEX_CD,DEM|SEX:M,male,Male,(null),PNT_GENDER,https://hl7.org/fhir/STU3/valueset-administrative-gender.html
PATIENT_DIMENSION,SEX_CD,DEM|SEX:A,other,Other,(null),PNT_GENDER,https://hl7.org/fhir/STU3/valueset-administrative-gender.html
PATIENT_DIMENSION,SEX_CD,DEM|SEX:F,female,Female,(null),PNT_GENDER,https://hl7.org/fhir/STU3/valueset-administrative-gender.html
PATIENT_DIMENSION,SEX_CD,DEM|SEX:NI,unknown,Unknown,(null),PNT_GENDER,https://hl7.org/fhir/STU3/valueset-administrative-gender.html
PATIENT_DIMENSION,SEX_CD,DEM|SEX:O,unknown,Unknown,(null),PNT_GENDER,https://hl7.org/fhir/STU3/valueset-administrative-gender.html
PATIENT_DIMENSION,VITAL_STATUS_CD,DEM|VITAL STATUS:D,1,(null),(null),PNT_DECEASED,https://www.hl7.org/fhir/patient-definitions.html#Patient.deceased_x_
PROVIDER_DIMENSION,SEX_CD,DEM|SEX:A,other,Other,(null),PROVIDER_SEX,https://hl7.org/fhir/STU3/valueset-administrative-gender.html
PROVIDER_DIMENSION,SEX_CD,DEM|SEX:O,unknown,Unknown,(null),PROVIDER_SEX,https://hl7.org/fhir/STU3/valueset-administrative-gender.html
PROVIDER_DIMENSION,SEX_CD,DEM|SEX:NI,unknown,Unknown,(null),PROVIDER_SEX,https://hl7.org/fhir/STU3/valueset-administrative-gender.html
PROVIDER_DIMENSION,SEX_CD,DEM|SEX:F,female,Female,(null),PROVIDER_SEX,https://hl7.org/fhir/STU3/valueset-administrative-gender.html
PROVIDER_DIMENSION,SEX_CD,DEM|SEX:M,male,Male,(null),PROVIDER_SEX,https://hl7.org/fhir/STU3/valueset-administrative-gender.html
PROVIDER_DIMENSION,SEX_CD,DEM|SEX:O,unknown,Unknown,(null),PRACT_GENDER,https://hl7.org/fhir/STU3/valueset-administrative-gender.html
PROVIDER_DIMENSION,SEX_CD,DEM|SEX:A,other,Other,(null),PRACT_GENDER,https://hl7.org/fhir/STU3/valueset-administrative-gender.html
PROVIDER_DIMENSION,SEX_CD,DEM|SEX:NI,unknown,Unknown,(null),PRACT_GENDER,https://hl7.org/fhir/STU3/valueset-administrative-gender.html
PROVIDER_DIMENSION,SEX_CD,DEM|SEX:M,male,Male,(null),PRACT_GENDER,https://hl7.org/fhir/STU3/valueset-administrative-gender.html
PROVIDER_DIMENSION,SEX_CD,DEM|SEX:F,female,Female,(null),PRACT_GENDER,https://hl7.org/fhir/STU3/valueset-administrative-gender.html
VISIT_DIMENSION,INOUT_CD,O,AMB,ambulatory,(null),ENC_CLASS_CODE,http://hl7.org/fhir/ValueSet/v3-ActEncounterCode
VISIT_DIMENSION,INOUT_CD,E,EMER,emergency,(null),ENC_CLASS_CODE,http://hl7.org/fhir/ValueSet/v3-ActEncounterCode
VISIT_DIMENSION,INOUT_CD,EI,IMP,impatient encounter,imperfect match,ENC_CLASS_CODE,http://hl7.org/fhir/ValueSet/v3-ActEncounterCode
VISIT_DIMENSION,INOUT_CD,N,(null),(null),No Mapping for Unknown,ENC_CLASS_CODE,http://hl7.org/fhir/ValueSet/v3-ActEncounterCode
VISIT_DIMENSION,INOUT_CD,X,AMB,ambulatory,(null),ENC_CLASS_CODE,http://hl7.org/fhir/ValueSet/v3-ActEncounterCode
VISIT_DIMENSION,INOUT_CD,NA,NONAC,impatient non-acute,(null),ENC_CLASS_CODE,http://hl7.org/fhir/ValueSet/v3-ActEncounterCode
VISIT_DIMENSION,INOUT_CD,I,IMP,impatient encounter,(null),ENC_CLASS_CODE,http://hl7.org/fhir/ValueSet/v3-ActEncounterCode
VISIT_DIMENSION,RACE_CD,DEM|RACE:W,2106-3,(null),White,PNT_RACE,https://www.hl7.org/fhir/v3/Race/cs.html
